datahora,satelite,municipio,bioma,latitude,longitude,NOME_UC,Area_Km2,Mes,Dominio_2,GRUPO_2,NOME_UC_2,Area_Km2_2
2021/10/09 15:33:00,NOAA-20,SENTO SE,Caatinga,-9.858040000000001,-41.540860000000002,APA do Lago do Sobradinho,12356.154,"10",Estadual,Uso Sustentável,APA do Lago do Sobradinho,12356.154
2021/10/09 15:33:00,NOAA-20,PILAO ARCADO,Caatinga,-10.030390000000001,-42.516530000000003,APA do Lago do Sobradinho,12356.154,"10",Estadual,Uso Sustentável,APA do Lago do Sobradinho,12356.154
2021/10/09 15:33:00,NOAA-20,PILAO ARCADO,Caatinga,-10.282430000000000,-42.505809999999997,APA do Lago do Sobradinho,12356.154,"10",Estadual,Uso Sustentável,APA do Lago do Sobradinho,12356.154
2021/10/09 15:33:00,NOAA-20,PILAO ARCADO,Caatinga,-10.282999999999999,-42.510779999999997,APA do Lago do Sobradinho,12356.154,"10",Estadual,Uso Sustentável,APA do Lago do Sobradinho,12356.154
2021/10/09 15:33:00,NOAA-20,PILAO ARCADO,Caatinga,-10.285530000000000,-42.507660000000001,APA do Lago do Sobradinho,12356.154,"10",Estadual,Uso Sustentável,APA do Lago do Sobradinho,12356.154
2021/10/09 15:33:00,NOAA-20,PILAO ARCADO,Caatinga,-10.288710000000000,-42.504959999999997,APA do Lago do Sobradinho,12356.154,"10",Estadual,Uso Sustentável,APA do Lago do Sobradinho,12356.154
2021/10/09 15:33:00,NOAA-20,PILAO ARCADO,Caatinga,-10.289270000000000,-42.509830000000001,APA do Lago do Sobradinho,12356.154,"10",Estadual,Uso Sustentável,APA do Lago do Sobradinho,12356.154
2021/10/09 15:33:00,NOAA-20,PILAO ARCADO,Caatinga,-10.346450000000001,-42.507640000000002,APA do Lago do Sobradinho,12356.154,"10",Estadual,Uso Sustentável,APA do Lago do Sobradinho,12356.154
2021/10/09 15:33:00,NOAA-20,PILAO ARCADO,Caatinga,-10.347049999999999,-42.512700000000002,APA do Lago do Sobradinho,12356.154,"10",Estadual,Uso Sustentável,APA do Lago do Sobradinho,12356.154
2021/10/09 15:33:00,NOAA-20,PILAO ARCADO,Caatinga,-10.352750000000000,-42.506920000000001,APA do Lago do Sobradinho,12356.154,"10",Estadual,Uso Sustentável,APA do Lago do Sobradinho,12356.154
2021/10/09 15:33:00,NOAA-20,PILAO ARCADO,Caatinga,-10.353339999999999,-42.511890000000001,APA do Lago do Sobradinho,12356.154,"10",Estadual,Uso Sustentável,APA do Lago do Sobradinho,12356.154
2021/10/09 15:33:00,NOAA-20,SENTO SE,Caatinga,-9.759010000000000,-41.925260000000002,APA do Lago do Sobradinho,12356.154,"10",Estadual,Uso Sustentável,APA do Lago do Sobradinho,12356.154
2021/10/09 15:33:00,NOAA-20,SENTO SE,Caatinga,-9.759580000000000,-41.929819999999999,APA do Lago do Sobradinho,12356.154,"10",Estadual,Uso Sustentável,APA do Lago do Sobradinho,12356.154
2021/10/09 16:26:00,NPP-375,PILAO ARCADO,Caatinga,-10.028910000000000,-42.516539999999999,APA do Lago do Sobradinho,12356.154,"10",Estadual,Uso Sustentável,APA do Lago do Sobradinho,12356.154
2021/10/09 16:26:00,NPP-375,SENTO SE,Caatinga,-10.108000000000001,-42.419119999999999,APA do Lago do Sobradinho,12356.154,"10",Estadual,Uso Sustentável,APA do Lago do Sobradinho,12356.154
2021/10/09 16:26:00,NPP-375,PILAO ARCADO,Caatinga,-10.281710000000000,-42.508350000000000,APA do Lago do Sobradinho,12356.154,"10",Estadual,Uso Sustentável,APA do Lago do Sobradinho,12356.154
2021/10/09 16:26:00,NPP-375,PILAO ARCADO,Caatinga,-10.282260000000001,-42.511920000000003,APA do Lago do Sobradinho,12356.154,"10",Estadual,Uso Sustentável,APA do Lago do Sobradinho,12356.154
2021/10/09 16:26:00,NPP-375,PILAO ARCADO,Caatinga,-10.285060000000000,-42.507829999999998,APA do Lago do Sobradinho,12356.154,"10",Estadual,Uso Sustentável,APA do Lago do Sobradinho,12356.154
2021/10/09 16:26:00,NPP-375,PILAO ARCADO,Caatinga,-10.285610000000000,-42.511400000000002,APA do Lago do Sobradinho,12356.154,"10",Estadual,Uso Sustentável,APA do Lago do Sobradinho,12356.154
2021/10/09 16:26:00,NPP-375,PILAO ARCADO,Caatinga,-10.286160000000001,-42.514969999999998,APA do Lago do Sobradinho,12356.154,"10",Estadual,Uso Sustentável,APA do Lago do Sobradinho,12356.154
2021/10/09 16:26:00,NPP-375,PILAO ARCADO,Caatinga,-10.288399999999999,-42.507309999999997,APA do Lago do Sobradinho,12356.154,"10",Estadual,Uso Sustentável,APA do Lago do Sobradinho,12356.154
2021/10/09 16:26:00,NPP-375,PILAO ARCADO,Caatinga,-10.342440000000000,-42.513249999999999,APA do Lago do Sobradinho,12356.154,"10",Estadual,Uso Sustentável,APA do Lago do Sobradinho,12356.154
2021/10/09 16:26:00,NPP-375,PILAO ARCADO,Caatinga,-10.345780000000000,-42.512720000000002,APA do Lago do Sobradinho,12356.154,"10",Estadual,Uso Sustentável,APA do Lago do Sobradinho,12356.154
2021/10/09 16:26:00,NPP-375,PILAO ARCADO,Caatinga,-10.349130000000001,-42.512200000000000,APA do Lago do Sobradinho,12356.154,"10",Estadual,Uso Sustentável,APA do Lago do Sobradinho,12356.154
2021/10/09 16:26:00,NPP-375,PILAO ARCADO,Caatinga,-10.352470000000000,-42.511670000000002,APA do Lago do Sobradinho,12356.154,"10",Estadual,Uso Sustentável,APA do Lago do Sobradinho,12356.154
